name,school,cantrip,level,classes,time,range,components,duration,p1,p2,p3,p4,ul1,ul2,ul3,ul4,ul5,p5,p6,p7,p8,p9,ahl
Blade Ward,abjuration,Cantrip,cantrip,bard sorcerer warlock wizard,1 action,Self,Verbal&#44; Somatic,1 round,You extend your hand and trace a sigil of warding in the air. Until the end of your next turn&#44; you have resistance against bludgeoning&#44; piercing&#44; and slashing damage dealt by weapon attacks.,,,,---,---,---,---,---,,,,,,
Bless,enchantment,not cantrip,1st,paladin cleric,1 action,30 feet,Verbal&#44; Somatic&#44; Material (a sprinkling of holy water),Concentration up to 1 minute,You bless up to three creatures of your choice within range. Whenever a target makes an attack roll or a saving throw before the spell ends&#44; the target can roll a d4 and add the number rolled to the attack roll or saving throw.,,,,---,---,---,---,---,,,,,,When you cast this spell using a spell slot of 2nd level or higher&#44; you can target one additional creature for each slot level above 1st.
Blight,necromancy,not cantrip,4th,druid sorcerer warlock wizard,1 action,30 feet,Verbal&#44; Somatic,Instantaneous,Necromantic energy washes over a creature of your choice that you can see within range&#44; draining moisture and vitality from it. The target must make a Constitution saving throw. The target takes 8d8 necrotic damage on a failed save&#44; or half as much damage on a successful one. This spell has no effect on undead or constructs.,If you target a plant creature or a magical plant&#44; it makes the saving throw with disadvantage&#44; and the spell deals maximum damage to it.,If you target a nonmagical plant that isn't a creature&#44; such as a tree or shrub&#44; it doesn't make a saving throw; it simply withers and dies.,,---,---,---,---,---,,,,,,When you cast this spell using a spell slot of 5th level or higher&#44; the damage increases by 1d8 for each slot level above 4th.
Blinding Smite,evocation,not cantrip,3rd,paladin,1 bonus action,Self,Verbal,Concentration up to 1 minute,The next time you hit a creature with a melee weapon attack during this spell's duration&#44; your weapon flares with bright light&#44; and the attack deals an extra 3d8 radiant damage to the target. Additionally&#44; the target must succeed on a Constitution saving throw or be blinded until the spell ends.,A creature blinded by this spell makes another Constitution saving throw at the end of each of its turns. On a successful save&#44; it is no longer blinded.,,,---,---,---,---,---,,,,,,
Blindness/Deafness,necromancy,not cantrip,2nd,bard cleric sorcerer wizard,1 action,30 feet,Verbal,1 minute,You can blind or deafen a foe. Choose one creature that you can see within range to make a Constitution saving throw. If it fails&#44; the target is either blinded or deafened (your choice) for the duration. At the end of each of its turns&#44; the target can make a Constitution saving throw. On a success&#44; the spell ends.,,,,---,---,---,---,---,,,,,,When you cast this spell using a spell slot of 3rd level or higher&#44; you can target one additional creature for each slot level above 2nd.
Blink,transmutation,not cantrip,3rd,sorcerer wizard,1 action,Self,Verbal&#44; Somatic,1 minute,Roll a d20 at the end of each of your turns for the duration of the spell. On a roll of 11 or higher&#44; you vanish from your current plane of existence and appear in the Ethereal Plane (the spell fails and the casting is wasted if you were already on that plane). At the start of your next turn&#44; and when the spell ends if you are on the Ethereal Plane&#44; you return to an unoccupied space of your choice that you can see within 10 feet of the space you vanished from. If no unoccupied space is available within that range&#44; you appear in the nearest unoccupied space (chosen at random if more than one space is equally near). You can dismiss this spell as an action.,While on the Ethereal Plane&#44; you can see and hear the plane you originated from&#44; which is cast in shades of gray&#44; and you can't see anything there more than 60 feet away. You can only affect and be affected by other creatures on the Ethereal Plane. Creatures that aren't there can't perceive you or interact with you&#44; unless they have the ability to do so.,,,---,---,---,---,---,,,,,,
Blur,illusion,not cantrip,2nd,sorcerer wizard,1 action,Self,Verbal,Concentration up to 1 minute,Your body becomes blurred&#44; shifting and wavering to all who can see you. For the duration&#44; any creature has disadvantage on attack rolls against you. An attacker is immune to this effect if it doesn't rely on sight&#44; as with blindsight&#44; or can see through illusions&#44; as with truesight.,,,,---,---,---,---,---,,,,,,
Branding Smite,evocation,not cantrip,2nd,paladin,1 bonus action,Self,Verbal,Concentration up to 1 minute,The next time you hit a creature with a weapon attack before this spell ends&#44; the weapon gleams with astral radiance as you strike. The attack deals an extra 2d6 radiant damage to the target&#44; which becomes visible if it's invisible&#44; and the target sheds dim light in a 5-foot radius and can't become invisible until the spell ends.,,,,---,---,---,---,---,,,,,,When you cast this spell using a spell slot of 3rd level or higher&#44; the extra damage increases by 1d6 for each slot level above 2nd.
Burning Hands,evocation,not cantrip,1st,sorcerer wizard,1 action,Self (15-foot cone),Verbal&#44; Somatic,Instantaneous,As you hold your hands with thumbs touching and fingers spread&#44; a thin sheet of flames shoots forth from your outstretched fingertips. Each creature in a 15-foot cone must make a Dexterity saving throw. A creature takes 3d6 fire damage on a failed save&#44; or half as much damage on a successful one.,The fire ignites any flammable objects in the area that aren't being worn or carried.,,,---,---,---,---,---,,,,,,When you cast this spell using a spell slot of 2nd level or higher&#44; the damage increases by 1d6 for each slot level above 1st.
Call Lightning,conjuration,not cantrip,3rd,druid,1 action,120 feet,Verbal&#44; Somatic,Concentration up to 10 minutes,A storm cloud appears in the shape of a cylinder that is 10 feet tall with a 60-foot radius&#44; centered on a point you can see within range directly above you. The spell fails if you can't see a point in the air where the storm cloud could appear (for example&#44; if you are in a room that can't accommodate the cloud).,When you cast the spell&#44; choose a point you can see under the cloud. A bolt of lightning flashes down from the cloud to that point. Each creature within 5 feet of that point must make a Dexterity saving throw. A creature takes 3d10 lightning damage on a failed save&#44; or half as much damage on a successful one. On each of your turns until the spell ends&#44; you can use your action to call down lightning in this way again&#44; targeting the same point or a different one.,If you are outdoors in stormy conditions when you cast this spell&#44; the spell gives you control over the existing storm instead of creating a new one. Under such conditions&#44; the spell's damage increases by 1d10.,,---,---,---,---,---,,,,,,When you cast this spell using a spell slot of 4th or higher level&#44; the damage increases by 1d10 for each slot level above 3rd.
Calm Emotions,enchantment,not cantrip,2nd,bard cleric,1 action,60 feet,Verbal&#44; Somatic,Concentration up to 1 minute,You attempt to suppress strong emotions in a group of people. Each humanoid in a 20-foot-radius sphere centered on a point you choose within range must make a Charisma saving throw; a creature can choose to fail this saving throw if it wishes. If a creature fails its saving throw&#44; choose one of the following two effects.,You can suppress any effect causing a target to be charmed or frightened. When this spell ends&#44; any suppressed effect resumes&#44; provided that its duration has not expired in the meantime.,Alternatively&#44; you can make a target indifferent about creatures of your choice that it is hostile toward. This indifference ends if the target is attacked or harmed by a spell or if it witnesses any of its friends being harmed. When the spell ends&#44; the creature becomes hostile again&#44; unless the DM rules otherwise.,,---,---,---,---,---,,,,,,
Chain Lightning,evocation,not cantrip,6th,sorcerer wizard,1 action,150 feet,Verbal&#44; Somatic&#44; Material (a bit of fur; a piece of amber&#44; glass&#44; or a crystal rod; and three silver pins),Instantaneous,You create a bolt of lightning that arcs toward a target of your choice that you can see within range. Three bolts then leap from that target to as many as three other targets&#44; each of which must be within 30 feet of the first target. A target can be a creature or an object and can be targeted by only one of the bolts.,A target must make a Dexterity saving throw. The target takes 10d8 lightning damage on a failed save&#44; or half as much damage on a successful one.,,,---,---,---,---,---,,,,,,When you cast this spell using a spell slot of 7th level or higher&#44; one additional bolt leaps from the first target to another target for each slot level above 6th.
Charm Person,enchantment,not cantrip,1st,bard druid sorcerer warlock wizard,1 action,30 feet,Verbal&#44; Somatic,You attempt to charm a humanoid you can see within range. It must make a Wisdom saving throw&#44; and does so with advantage if you or your companions are fighting it. If it fails the saving throw&#44; it is charmed by you until the spell ends or until you or your companions do anything harmful to it. The charmed creature regards you as a friendly acquaintance. When the spell ends&#44; the creature knows it was charmed by you.,,,,,---,---,---,---,---,,,,,,When you cast this spell using a spell slot of 2nd level or higher&#44; you can target one additional creature for each slot level above 1st. The creatures must be within 30 feet of each other when you target them.
Chill Touch,necromancy,Cantrip,cantrip,sorcerer warlock wizard,1 action,120 feet,Verbal&#44; Somatic,1 round,You create a ghostly&#44; skeletal hand in the space of a creature within range. Make a ranged spell attack against the creature to assail it with the chill of the grave. On a hit&#44; the target takes 1d8 necrotic damage&#44; and it can't regain hit points until the start of your next turn. Until then&#44; the hand clings to the target.,If you hit an undead target&#44; it also has disadvantage on attack rolls against you until the end of your next turn.,This spell's damage increases by 1d8 when you reach 5th level (2d8)&#44; 11th level (3d8)&#44; and 17th level (4d8).,,---,---,---,---,---,,,,,,
Chromatic Orb,evocation,not cantrip,1st,sorcerer wizard,1 action,90 feet,Verbal&#44; Somatic&#44; Material (a diamond worth at least 50 gp),Instantaneous,You hurl a 4-inch-diameter sphere of energy at a creature that you can see within range. You choose acid&#44; cold&#44; fire&#44; lightning&#44; poison&#44; or thunder for the type of orb you create&#44; and then make a ranged spell attack against the target. If the attack hits&#44; the creature takes 3d8 damage of the type you chose.,,,,---,---,---,---,---,,,,,,When you cast this spell using a spell slot of 2nd level or higher&#44; the damage increases by 1d8 for each slot level above 1st.
Circle of Death,necromancy,not cantrip,6th,sorcerer warlock wizard,1 action,150 feet,Verbal&#44; Somatic&#44; Material (the powder of a crushed black pearl worth at least 500 gp),Instantaneous,A sphere of negative energy ripples out in a 60-foot-radius sphere from a point within range. Each creature in that area must make a Constitution saving throw. A target takes 8d6 necrotic damage on a failed save&#44; or half as much damage on a successful one.,,,,---,---,---,---,---,,,,,,When you cast this spell using a spell slot of 7th level or higher&#44; the damage increases by 2d6 for each slot level above 6th.
Circle of Power,abjuration,not cantrip,5th,paladin,1 action,Self (30-foot radius),Verbal,Concentration up to 10 minutes,Divine energy radiates from you&#44; distorting and diffusing magical energy within 30 feet of you. Until the spell ends&#44; the sphere moves with you&#44; centered on you. For the duration&#44; each friendly creature in the area (including you) has advantage on saving throws against spells and other magical effects. Additionally&#44; when an affected creature succeeds on a saving throw made against a spell or magical effect that allows it to make a saving throw to take only half damage&#44; it instead takes no damage if it succeeds on the saving throw.,,,,---,---,---,---,---,,,,,,
Clairvoyance,divination,not cantrip,3rd,bard cleric sorcerer wizard,10 minutes,1 mile,Verbal&#44; Somatic&#44; Material (a focus worth at least 100 gp&#44; either a jeweled horn for hearing or a glass eye for seeing),Concentration up to 10 minutes,You create an invisible sensor within range in a location familiar to you (a place you have visited or seen before) or in an obvious location that is unfamiliar to you (such as behind a door&#44; around a corner&#44; or in a grove of trees). The sensor remains in place for the duration&#44; and it can't be attacked or otherwise interacted with.,When you cast the spell&#44; you choose seeing or hearing. You can use the chosen sense through the sensor as if you were in its space. As your action&#44; you can switch between seeing and hearing.,A creature that can see the sensor (such as a creature benefiting from see invisibility or truesight) sees a luminous&#44; intangible orb about the size of your fist.,,---,---,---,---,---,,,,,,
Clone,necromancy,not cantrip,8th,wizard,1 hour,Touch,Verbal&#44; Somatic&#44; Material (a diamond worth at least 1&#44;000 gp and at least 1 cubic inch of flesh of the creature that is to be cloned&#44; which the spell consumes&#44; and a vessel worth at least 2&#44;000 gp that has a sealable lid and is large enough to hold a Medium creature&#44; such as a huge urn&#44; coffin&#44; mud-filled cyst in the ground&#44; or crystal container filled with salt water),Instantaneous,This spell grows an inert duplicate of a living&#44; Medium creature as a safeguard against death. This clone forms inside a sealed vessel and grows to full size and maturity after 120 days; you can also choose to have the clone be a younger version of the same creature. It remains inert and endures indefinitely&#44; as long as its vessel remains undisturbed.,At any time after the clone matures&#44; if the original creature dies&#44; its soul transfers to the clone&#44; provided that the soul is free and willing to return. The clone is physically identical to the original and has the same personality&#44; memories&#44; and abilities&#44; but none of the original's equipment. The original creature's physical remains&#44; if they still exist&#44; become inert and can't thereafter be restored to life&#44; since the creature's soul is elsewhere.,,,---,---,---,---,---,,,,,,
Cloud of Daggers,conjuration,not cantrip,2nd,bard sorcerer warlock wizard,1 action,60 feet,Verbal&#44; Somatic&#44; Material (a sliver of glass),Concentration up to 1 minute,You fill the air with spinning daggers in a cube 5 feet on each side&#44; centered on a point you choose within range. A creature takes 4d4 slashing damage when it enters the spell's area for the first time on a turn or starts its turn there.,,,,---,---,---,---,---,,,,,,When you cast this spell using a spell slot of 3rd level or higher&#44; the damage increases by 2d4 for each slot level above 2nd.
Cloudkill,conjuration,not cantrip,5th,sorcerer wizard,1 action,120 feet,Verbal&#44; Somatic,Concentration up to 10 minutes,You create a 20-foot-radius sphere of poisonous&#44; yellow-green fog centered on a point you choose within range. The fog spreads around corners. It lasts for the duration or until strong wind disperses the fog&#44; ending the spell. Its area is heavily obscured.,When a creature enters the spell's area for the first time on a turn or starts its turn there&#44; that creature must make a Constitution saving throw. The creature takes 5d8 poison damage on a failed save&#44; or half as much damage on a successful one. Creatures are affected even if they hold their breath or don't need to breathe.,The fog moves 10 feet away from you at the start of each of your turns&#44; rolling along the surface of the ground. The vapors&#44; being heavier than air&#44; sink to the lowest level of the land&#44; even pouring down openings.,,---,---,---,---,---,,,,,,When you cast this spell using a spell slot of 6th level or higher&#44; the damage increases by 1d8 for each slot level above 5th.
Color Spray,illusion,not cantrip,1st,sorcerer wizard,1 action,Self (15-foot cone),Verbal&#44; Somatic&#44; Material (a pinch of powder or sand that is colored red&#44; yellow&#44; and blue),1 round,A dazzling array of flashing&#44; colored light springs from your hand. Roll 6d10; the total is how many hit points of creatures this spell can affect. Creatures in a 15-foot cone originating from you are affected in ascending order of their current hit points (ignoring unconscious creatures and creatures that can't see).,Starting with the creature that has the lowest current hit points&#44; each creature affected by this spell is blinded until the spell ends. Subtract each creature's hit points from the total before moving on to the creature with the next lowest hit points. A creature's hit points must be equal to or less than the remaining total for that creature to be affected.,,,---,---,---,---,---,,,,,,When you cast this spell using a spell slot of 2nd level or higher&#44; roll an additional 2d10 for each slot level above 1st.
Command,enchantment,not cantrip,1st,cleric paladin,1 action,60 feet,Verbal,1 round,You speak a one-word command to a creature you can see within range. The target must succeed on a Wisdom saving throw or follow the command on its next turn. The spell has no effect if the target is undead&#44; if it doesn't understand your language&#44; or if your command is directly harmful to it.,Some typical commands and their effects follow. You might issue a command other than one described here. If you do so&#44; the DM determines how the target behaves. If the target can't follow your command&#44; the spell ends.,\\<span class='dark'\\>Approach\\</span\\> &mdash; The target moves toward you by the shortest and most direct route&#44; ending its turn if it moves within 5 feet of you.,\\<span class='dark'\\>Drop\\</span\\> &mdash; The target drops whatever it is holding and then ends its turn.,---,---,---,---,---,\\<span class='dark'\\>Flee\\</span\\> &mdash; The target spends its turn moving away from you by the fastest available means.,\\<span class='dark'\\>Grovel\\</span\\> &mdash; The target falls prone and then ends its turn.,\\<span class='dark'\\>Halt\\</span\\> &mdash; The target doesn't move and takes no actions. A flying creature stays aloft&#44; provided that it is able to do so. If it must move to stay aloft&#44; it flies the minimum distance needed to remain in the air.,,,When you cast this spell using a spell slot of 2nd level or higher&#44; you can affect one additional creature for each slot level above 1st. The creatures must be within 30 feet of each other when you target them.
Commune,divination,not cantrip,5th,cleric,1 minute or ritual,Self,Verbal&#44; Somatic&#44; Material (incense and a vial of holy or unholy water),1 minute,You contact your deity or a divine proxy and ask up to three questions that can be answered with a yes or no. You must ask your questions before the spell ends. You receive a correct answer for each question.,Divine beings aren't necessarily omniscient&#44; so you might receive &quot;unclear&quot; as an answer if a question pertains to information that lies beyond the deity's knowledge. In a case where a one-word answer could be misleading or contrary to the deity's interests&#44; the DM might offer a short phrase as an answer instead.,If you cast the spell two or more times before finishing your next long rest&#44; there is a cumulative 25 percent chance for each casting after the first that you get no answer. The DM makes this roll in secret.,,---,---,---,---,---,,,,,,
Commune with Nature,divination,not cantrip,5th,druid ranger,1 minute or ritual,Self,Verbal&#44; Somatic,Instantaneous,You briefly become one with nature and gain knowledge of the surrounding territory. In the outdoors&#44; the spell gives you knowledge of the land within 3 miles of you. In caves and other natural underground settings&#44; the radius is limited to 300 feet. The spell doesn't function where nature has been replaced by construction&#44; such as in dungeons and towns.,You instantly gain knowledge of up to three facts of your choice about any of the following subjects as they relate to the area:,,,terrain and bodies of water,prevalent plants&#44; minerals&#44; animals&#44; or peoples,powerful celestials&#44; fey&#44; fiends&#44; elementals&#44; or undead,influence from other planes of existence,buildings,For example&#44; you could determine the location of powerful undead in the area&#44; the location of major sources of safe drinking water&#44; and the location of any nearby towns.,,,,,
Compelled Duel,enchantment,not cantrip,1st,paladin,1 bonus action,30 feet,Verbal,Concentration up to 1 minute,You attempt to compel a creature into a duel. One creature that you can see within range must make a Wisdom saving throw. On a failed save&#44; the creature is drawn to you&#44; compelled by your divine demand. For the duration&#44; it has disadvantage on attack rolls against creatures other than you&#44; and must make a Wisdom saving throw each time it attempts to move to a space that is more than 30 feet away from you; if it succeeds on this saving throw&#44; this spell doesn't restrict the target's movement for that turn.,The spell ends if you attack any other creature&#44; if you cast a spell that targets a hostile creature other than the target&#44; if a creature friendly to you damages the target or casts a harmful spell on it&#44; or if you end your turn more than 30 feet away from the target.,,,---,---,---,---,---,,,,,,
Comprehend Languages,divination,not cantrip,1st,bard sorcerer warlock wizard,1 action or ritual,Self,Verbal&#44; Somatic&#44; Material (a pinch of soot and salt),1 hour,For the duration&#44; you understand the literal meaning of any spoken language that you hear. You also understand any written language that you see&#44; but you must be touching the surface on which the words are written. It takes about 1 minute to read one page of text.,This spell doesn't decode secret messages in a text or a glyph&#44; such as an arcane sigil&#44; that isn't part of a written language.,,,---,---,---,---,---,,,,,,
Compulsion,enchantment,not cantrip,4th,bard,1 action,30 feet,Verbal&#44; Somatic,Concentration up to 1 minute,Creatures of your choice that you can see within range and that can hear you must make a Wisdom saving throw. A target automatically succeeds on this saving throw if it can't be charmed. On a failed save&#44; a target is affected by this spell. Until the spell ends&#44; you can use a bonus action on each of your turns to designate a direction that is horizontal to you. Each affected target must use as much of its movement as possible to move in that direction on its next turn. It can take its action before it moves. After moving in this way&#44; it can make another Wisdom saving throw to try to end the effect.,A target isn't compelled to move into an obviously deadly hazard&#44; such as a fire or pit&#44; but it will provoke opportunity attacks to move in the designated direction.,,,---,---,---,---,---,,,,,,
Cone of Cold,evocation,not cantrip,5th,sorcerer wizard,1 action,Self (60-foot cone),Verbal&#44; Somatic&#44; Material (a small crystal or glass cone),Instantaneous,A blast of cold air erupts from your hands. Each creature in a 60-foot cone must make a Constitution saving throw. A creature takes 8d8 cold damage on a failed save&#44; or half as much damage on a successful one.,A creature killed by this spell becomes a frozen statue until it thaws.,,,---,---,---,---,---,,,,,,When you cast this spell using a spell slot of 6th level or higher&#44; the damage increases by 1d8 for each slot level above 5th.
Confusion,enchantment,not cantrip,4th,bard druid sorcerer wizard,1 action,90 feet,Verbal&#44; Somatic&#44; Material (three nut shells),Concentration up to 1 minute,This spell assaults and twists creatures' minds&#44; spawning delusions and provoking uncontrolled action. Each creature in a 10-foot-radius sphere centered on a point you choose within range must succeed on a Wisdom saving throw when you cast this spell or be affected by it.,An affected target can't take reactions and must roll a d10 at the start of each of its turns to determine its behavior for that turn.,,,Result: 1 &mdash;  Behavior: The creature uses all its movement to move in a random direction. To determine the direction&#44; roll a d8 and assign a direction to each die face. The creature doesn't take an action this turn.,Result: 2-6 &mdash; Behavior: The creature doesn't move or take actions this turn.,Result: 7-8 &mdash; Behavior: The creature uses its action to make a melee attack against a randomly determined creature within its reach. If there is no creature within its reach&#44; the creature does nothing this turn.,Result: 9-10 &mdash; Behavior: The creature can act and move normally.,---,At the end of each of its turns&#44; an affected target can make a Wisdom saving throw. If it succeeds&#44; this effect ends for that target.,,,,,When you cast this spell using a spell slot of 5th level or higher&#44; the radius of the sphere increases by 5 feet for each slot level above 4th.
Conjure Animals,conjuration,not cantrip,3rd,druid ranger,1 action,60 feet,Verbal&#44; Somatic,Concentration up to 1 hour,You summon fey spirits that take the form of beasts and appear in unoccupied spaces that you can see within range. Choose one of the following options for what appears:,,,,One beast of challenge rating 2 or lower,Two beasts of challenge rating 1 or lower,Four beasts of challenge rating 1/2 or lower,Eight beasts of challenge rating 1/4 or lower,---,Each beast is also considered fey&#44; and it disappears when it drops to 0 hit points or when the spell ends.,The summoned creatures are friendly to you and your companions. Roll initiative for the summoned creatures as a group&#44; which has its own turns. They obey any verbal commands that you issue to them (no action required by you). If you don't issue any commands to them&#44; they defend themselves from hostile creatures&#44; but otherwise take no actions.,The DM has the creatures' statistics.,,,When you cast this spell using certain higher-level spell slots&#44; you choose one of the summoning options above&#44; and more creatures appear: twice as many with a 5th-level slot&#44; three times as many with a 7th-level slot&#44; and four times as many with a 9th-level slot.
Conjure Barrage,conjuration,not cantrip,3rd,ranger,1 action,Self (60-foot cone),Verbal&#44; Somatic&#44; Material (one piece of ammunition or a thrown weapon),Instantaneous,You throw a nonmagical weapon or fire a piece of nonmagical ammunition into the air to create a cone of identical weapons that shoot forward and then disappear. Each creature in a 60-foot cone must succeed on a Dexterity saving throw. A creature takes 3d8 damage on a failed save&#44; or half as much damage on a successful one. The damage type is the same as that of the weapon or ammunition used as a component.,,,,---,---,---,---,---,,,,,,
Conjure Celestial,conjuration,not cantrip,7th,cleric,1 minute,90 feet,Verbal&#44; Somatic,Concentration up to 1 hour,You summon a celestial of challenge rating 4 or lower&#44; which appears in an unoccupied space that you can see within range. The celestial disappears when it drops to 0 hit points or when the spell ends. The celestial is friendly to you and your companions for the duration. Roll initiative for the celestial&#44; which has its own turns. It obeys any verbal commands that you issue to it (no action required by you)&#44; as long as they don't violate its alignment. If you don't issue any commands to the celestial&#44; it defends itself from hostile creatures but otherwise takes no actions. The DM has the celestial's statistics.,,,,---,---,---,---,---,,,,,,When you cast this spell using a 9th-level spell slot&#44; you summon a celestial of challenge rating 5 or lower.
Conjure Elemental,conjuration,not cantrip,5th,druid wizard,1 minute,90 feet,Verbal&#44; Somatic&#44; Material (burning incense for air&#44; soft clay for earth&#44; sulfur and phosphorus for fire&#44; or water and sand for water),Concentration up to 1 hour,You call forth an elemental servant. Choose an area of air&#44; earth&#44; fire&#44; or water that fills a 10-foot cube within range. An elemental of challenge rating 5 or lower appropriate to the area you chose appears in an unoccupied space within 10 feet of it. For example&#44; a fire elemental emerges from a bonfire&#44; and an earth elemental rises up from the ground. The elemental disappears when it drops to 0 hit points or when the spell ends.,The elemental is friendly to you and your companions for the duration. Roll initiative for the elemental&#44; which has its own turns. It obeys any verbal commands that you issue to it (no action required by you). If you don't issue any commands to the elemental&#44; it defends itself from hostile creatures but otherwise takes no actions.,If your concentration is broken&#44; the elemental doesn't disappear. Instead&#44; you lose control of the elemental&#44; it becomes hostile toward you and your companions&#44; and it might attack. An uncontrolled elemental can't be dismissed by you&#44; and it disappears 1 hour after you summoned it.,The DM has the elemental's statistics.,---,---,---,---,---,,,,,,When you cast this spell using a spell slot of 6th level or higher&#44; the challenge rating increases by 1 for each slot level above 5th.
Conjure Fey,conjuration,not cantrip,6th,druid warlock,1 minute,90 feet,Verbal&#44; Somatic,Concentration up to 1 hour,You summon a fey creature of challenge rating 6 or lower&#44; or a fey spirit that takes the form of a beast of challenge rating 6 or lower. It appears in an unoccupied space that you can see within range. The fey creature disappears when it drops to 0 hit points or when the spell ends.,The fey creature is friendly to you and your companions for the duration. Roll initiative for the creature&#44; which has its own turns. It obeys any verbal commands that you issue to it (no action required by you)&#44; as long as they don't violate its alignment. If you don't issue any commands to the fey creature&#44; it defends itself from hostile creatures but otherwise takes no actions.,If your concentration is broken&#44; the fey creature doesn't disappear. Instead&#44; you lose control of the fey creature&#44; it becomes hostile toward you and your companions&#44; and it might attack. An uncontrolled fey creature can't be dismissed by you&#44; and it disappears 1 hour after you summoned it.,The DM has the fey creature's statistics.,---,---,---,---,---,,,,,,When you cast this spell using a spell slot of 7th level or higher&#44; the challenge rating increases by 1 for each slot level above 6th.
Conjure Minor Elementals,conjuration,not cantrip,4th,druid wizard,1 minute,90 feet,Verbal&#44; Somatic,Concentration up to 1 hour,You summon elementals that appear in unoccupied spaces that you can see within range. You choose one the following options for what appears:,,,,One elemental of challenge rating 2 or lower,Two elementals of challenge rating 1 or lower,Four elementals of challenge rating 1/2 or lower,Eight elementals of challenge rating 1/4 or lower.,---,An elemental summoned by this spell disappears when it drops to 0 hit points or when the spell ends.,The summoned creatures are friendly to you and your companions. Roll initiative for the summoned creatures as a group&#44; which has its own turns. They obey any verbal commands that you issue to them (no action required by you). If you don't issue any commands to them&#44; they defend themselves from hostile creatures&#44; but otherwise take no actions.,The DM has the creatures' statistics.,,,When you cast this spell using certain higher-level spell slots&#44; you choose one of the summoning options above&#44; and more creatures appear: twice as many with a 6th-level slot and three times as many with an 8th-level slot.
Conjure Volley,conjuration,not cantrip,5th,ranger,1 action,150 feet,Verbal&#44; Somatic&#44; Material (one piece of ammunition or one thrown weapon),Instantaneous,You fire a piece of nonmagical ammunition from a ranged weapon or throw a nonmagical weapon into the air and choose a point within range. Hundreds of duplicates of the ammunition or weapon fall in a volley from above and then disappear. Each creature in a 40-foot-radius&#44; 20-foot-high cylinder centered on that point must make a Dexterity saving throw. A creature takes 8d8 damage on a failed save&#44; or half as much damage on a successful one. The damage type is the same as that of the ammunition or weapon.,,,,---,---,---,---,---,,,,,,
Conjure Woodland Beings,conjuration,not cantrip,4th,druid ranger,1 action,60 feet,Verbal&#44; Somatic&#44; Material (one holly berry per creature summoned),Concentration up to 1 hour,You summon fey creatures that appear in unoccupied spaces that you can see within range. Choose one of the following options for what appears:,,,,One fey creature of challenge rating 2 or lower,Two fey creatures of challenge rating 1 or lower,Four fey creatures of challenge rating 1/2 or lower,Eight fey creatures of challenge rating 1/4 or lower,---,A summoned creature disappears when it drops to 0 hit points or when the spell ends.,The summoned creatures are friendly to you and your companions. Roll initiative for the summoned creatures as a group&#44; which have their own turns. They obey any verbal commands that you issue to them (no action required by you). If you don't issue any commands to them&#44; they defend themselves from hostile creatures&#44; but otherwise take no actions.,The DM has the creatures' statistics.,,,When you cast this spell using certain higher-level spell slots&#44; you choose one of the summoning options above&#44; and more creatures appear: twice as many with a 6th-level slot and three times as many with an 8th-level slot.
Contact Other Plane,divination,not cantrip,5th,warlock wizard,1 minute,Self,Verbal,1 minute,You mentally contact a demigod&#44; the spirit of a long-dead sage&#44; or some other mysterious entity from another plane. Contacting this extraplanar intelligence can strain or even break your mind. When you cast this spell&#44; make a DC 15 Intelligence saving throw. On a failure&#44; you take 6d6 psychic damage and are insane until you finish a long rest. While insane&#44; you can't take actions&#44; can't understand what other creatures say&#44; can't read&#44; and speak only in gibberish. A greater restoration spell cast on you ends this effect.,On a successful save&#44; you can ask the entity up to five questions. You must ask your questions before the spell ends. The DM answers each question with one word&#44; such as &quot;yes&#44;&quot; &quot;no&#44;&quot; &quot;maybe&#44;&quot; &quot;never&#44;&quot; &quot;irrelevant&#44;&quot; or &quot;unclear&quot; (if the entity doesn't know the answer to the question). If a one-word answer would be misleading&#44; the DM might instead offer a short phrase as an answer.,,,---,---,---,---,---,,,,,,
